step,winrate,elo,wall_s,ckpt
300000,0.55,2534.86007028756,348.0487265586853,checkpoint_300000.pt
310000,0.57,2548.962560037162,317.1748456954956,checkpoint_310000.pt
320000,0.55,2534.86007028756,316.60351634025574,checkpoint_320000.pt
330000,0.46,2472.145628743442,281.27117133140564,checkpoint_330000.pt
340000,0.49,2493.050361572231,307.81677508354187,checkpoint_340000.pt
350000,0.62,2585.0432371525776,308.70174956321716,checkpoint_350000.pt
360000,0.69,2638.994958761193,301.3103549480438,checkpoint_360000.pt
370000,0.49,2493.050361572231,302.53529500961304,checkpoint_370000.pt
380000,0.51,2506.949638427769,346.69548511505127,checkpoint_380000.pt
390000,0.47,2479.1287953339715,327.1226670742035,checkpoint_390000.pt
394000,0.64,2599.95098928664,367.68007373809814,checkpoint_394000.pt
